title,address,phone,lng,lat
心医心理咨询(重庆)有限责任公司,临江门15号第二层,(023)63807186,106.578225,29.566551
重庆市医学心理咨询中心(花卉园西四路),重庆市渝北区紫荆路167号玛雅上层1栋2层,(023)67070707,106.538366,29.604554
圣安米悦心理咨询全国连锁(嘉滨路店),嘉陵江滨江路116号圣地大厦,未知,106.578902,29.567573
重庆小米熊青少年心理咨询中心,重庆市南岸区南坪东路49号,未知,106.583087,29.540223
重庆仁格心理咨询所,重庆市渝中区观音岩中山一路220号水晶石国际公寓10楼1号,未知,106.566953,29.56204
重庆方昌公社心理咨询有限公司,重庆市南岸区南滨路诚投天临水岸A区三号楼24-8室,未知,106.560017,29.543928
重庆德思宏心理咨询服务有限公司,重庆市渝中区亚太路亚太商谷21-17-17,未知,106.544602,29.559967
重庆心光希望心理咨询有限公司,重庆市南岸区花园路13号,未知,106.561543,29.53128
重庆德品心理咨询有限公司,重庆市南岸区南坪街道南坪西路38号1栋16-7号,未知,106.568735,29.53548
重庆琳心心理咨询有限公司,重庆市江北区建新南路21号煌华晶萃城2幢16-3室,(023)65311027,106.54318,29.575987
重庆明鉴心理咨询有限公司,重庆市江北区建新南路11号17-5号,未知,106.54145,29.577513
重庆拾间心理咨询有限公司,重庆市渝北区龙溪街道红黄路99号皇冠东和花园C3幢4-5,未知,106.544481,29.59832
重庆华怡心辰心理咨询有限公司,医学院路1号时代天街c馆18号楼1201室,未知,106.5187,29.541579
重庆临江门医院-心理科,重庆市渝中区临江门15号,未知,106.578214,29.56658
重庆市第十一人民医院精神科心理科,重庆市沙坪坝区高滩岩立交重庆市精神病院,未知,106.451548,29.545246
重庆荣格心理咨询,重庆市九龙坡区渝州路126号党校科技大楼9层8号,(023)68590866,106.502301,29.540277
十加十家庭教育心理咨询,重庆市渝北区新溉大道鲁能·星城-11街区,未知,106.568538,29.605343
希望心理咨询中心,重庆市南岸区万寿路60号,(023)61619995,106.567906,29.530445
言灰空心理咨询工作室,重庆市渝中区化龙桥富华路10号,13883085088,106.523644,29.55392
涵容心理咨询,金开大道68号金开协信中心3栋14-1室,17783709548,106.540516,29.633398
重庆市启明在线心理咨询有限公司,重庆市渝中区大坪正街19号英利国际2号楼43-14号,未知,106.52271,29.544876
聆静心理咨询,尚品路鲁能星城四街区14栋三单元2-3号,15310255866,106.564778,29.599342
重庆寸草心心理咨询有限公司,腾龙大道泽科弹子石中心1幢12-5,18203040640,106.59765,29.590844
VIDAR麓沁心理咨询,长江二路龙湖时代天街12栋6楼08号,未知,106.518988,29.539152
灵犀树心理咨询工作室,新南路龙湖MOCO中心3栋15层14室(北环红星美凯龙),(023)67189110,106.506272,29.607299
重庆轩逸心理咨询中心,石油路1号恒大名都22幢1202室,未知,106.510055,29.548644
重庆市九龙坡区心理咨询师协会,重庆市九龙坡区前进路38号,未知,106.519455,29.512276
重庆天尧心理咨询中心,重庆市渝北区鲁能星城十三街区2栋1-1、1-16号,未知,106.568586,29.612545
安肯心理咨询(冉家坝店),龙山街道新南路439号中国华融现代广场3幢健康智谷A区13楼13-13,"(023)67376102,19112388776,4000520088",106.505265,29.606039
心里咨询,重庆市江北区海尔路星辰丽苑西侧约40米,未知,106.609224,29.627686
心里咨询,重庆市江北区海尔路星辰丽苑西侧约40米,未知,106.609224,29.627686
OTR心理发展咨询中心,石碾盘东原ARC中央广场1号楼22-13/14,(023)67823888,106.466859,29.557011
重庆淡如心理咨询有限公司,重庆市九龙坡区渝州路8-7-26号,未知,106.490331,29.536896
圣安米悦心理咨询(杨家坪店),"杨家坪正街25号（致电可直接联系线上助理,享助理免费分析）",未知,106.52226,29.51487
重庆市心灵渤海心理咨询中心,重庆市九龙坡区科园一街136号3-1号,未知,106.501296,29.536272
渝北区第二人民医院-心理门诊,重庆市渝北区武陵路1号附1号,(023)86889878,106.519204,29.591476
重庆贵立心心理咨询有限公司,重庆市渝北区余溪路中华·两江春城,未知,106.496342,29.603203
重庆心视界心理咨询有限公司,重庆市渝北区栖霞路18号融创金贸时代23栋6楼,13110236760,106.574062,29.641215
森爱心理,龙湖时代天街9栋3104室,未知,106.517276,29.541809
重庆浅喜深爱心理咨询有限责任公司,重庆市九龙坡区罗汉沟21号解甲园4幢14-3号,未知,106.501315,29.545727
和悦小屋家庭教育与心理咨询中心,重庆市渝北区人和街道镜泊中路5号远大山那里亲子教育公园办公楼4楼11-1号,未知,106.538664,29.64027
壹零壹心理咨询中心,站南路龙湖光年4栋36-11,"16623466101,18623027827",106.469791,29.560555
明亮心里咨询所,西郊支路3号信合大厦15层10号,"(023)68786896,(023)68788219",106.518698,29.510629
重庆馨心鑫心理咨询有限公司,重庆市巴南区巴滨路2128号重庆馨心鑫心理,未知,106.553638,29.476284
重庆寸草心心理咨询有限公司两江新区店,重庆市渝北区食品城大道两港中心2幢4-8号,未知,106.617436,29.654457
重庆一欣一阅健康咨询有限公司,栖霞路金贸时代7栋26-6（金渝地铁站1号口步行340米）,18725696446,106.574509,29.643274
